idInstructor,idRating,dateObtained
1,CFI,2020-11-12 16:21:05
2,CFI,2020-11-12 19:23:52
3,CFI,2020-12-09 05:16:44
4,CFI,2020-12-02 00:15:08
5,CFI,2021-02-02 08:15:51
6,CFI,2021-05-02 14:41:05
7,CFI,2021-02-24 15:44:02
8,CFI,2020-11-20 13:22:00
9,CFI,2021-04-04 22:26:14
10,CFI,2021-05-29 17:40:30
11,CFI,2020-12-09 02:58:42
12,CFI,2020-12-11 17:30:36
13,CFI,2020-12-02 15:16:56
14,CFI,2021-02-06 13:41:26
15,CFI,2021-03-12 18:08:23
16,CFI,2021-05-26 15:49:08
17,CFI,2020-12-07 14:32:21
18,CFI,2021-01-05 19:22:40
19,CFI,2021-01-14 08:14:44
20,CFI,2021-02-06 00:43:39
21,CFI,2020-12-27 11:26:19
22,CFI,2021-04-25 15:12:16
23,CFI,2021-04-07 17:28:57
24,CFI,2021-01-07 01:43:57
25,CFI,2021-05-02 18:12:19
26,CFI,2020-11-23 12:00:49
27,CFI,2020-11-14 07:24:41
28,CFI,2020-12-29 18:13:47
29,CFI,2021-01-21 15:12:16
30,CFI,2021-04-15 01:31:27
