idInstructor,idRating,dateObtained
1,CPL,2020-08-24 19:21:33
2,CPL,2020-10-16 07:18:56
3,CPL,2020-08-08 04:29:05
4,CPL,2020-09-12 07:21:19
5,CPL,2020-09-27 04:37:16
6,CPL,2020-09-17 02:32:35
7,CPL,2020-06-20 19:44:02
8,CPL,2020-06-04 15:06:45
9,CPL,2020-06-19 14:24:59
10,CPL,2020-09-27 14:15:41
11,CPL,2020-07-02 23:44:08
12,CPL,2020-09-10 03:23:39
13,CPL,2020-08-03 03:25:33
14,CPL,2020-09-06 10:28:17
15,CPL,2020-08-19 09:38:38
16,CPL,2020-06-26 05:32:03
17,CPL,2020-08-29 20:25:55
18,CPL,2020-08-10 16:23:53
19,CPL,2020-10-25 16:32:44
20,CPL,2020-07-16 00:54:39
21,CPL,2020-06-06 23:14:00
22,CPL,2020-07-23 12:45:12
23,CPL,2020-10-20 12:04:04
24,CPL,2020-08-31 11:20:50
25,CPL,2020-09-15 16:54:26
26,CPL,2020-06-18 00:59:52
27,CPL,2020-07-23 01:49:16
28,CPL,2020-08-01 13:31:32
29,CPL,2020-10-21 10:06:01
30,CPL,2020-06-27 19:20:29
