idInstructor,idRating,dateObtained
1,MEI,2021-06-05 00:49:48
2,TW,2021-06-19 04:00:20
3,CFII,2021-09-04 05:38:44
4,TW,2021-11-07 09:08:59
5,HP,2021-11-07 09:47:38
6,HP,2021-09-27 00:33:05
7,MEI,2021-06-12 10:50:48
8,CFII,2021-09-10 05:40:56
9,TW,2021-08-03 06:35:43
10,MEI,2021-08-13 08:33:57
11,TW,2021-07-23 02:48:42
12,CFII,2021-07-06 19:37:02
13,TW,2021-11-01 12:50:32
14,CFII,2021-06-19 13:10:48
15,HP,2021-09-29 09:29:38
16,MEI,2021-11-03 18:20:30
17,TW,2021-09-15 12:26:11
18,HP,2021-06-29 10:24:22
19,MEI,2021-07-04 05:13:17
20,HP,2021-07-08 12:10:40
21,HP,2021-10-20 23:28:31
22,HP,2021-09-27 04:17:32
23,TW,2021-10-02 04:47:11
24,TW,2021-06-07 17:15:59
25,CFII,2021-10-25 22:16:16
26,HP,2021-08-02 14:59:06
27,MEI,2021-07-06 11:13:19
28,CFII,2021-10-20 14:03:27
29,CFII,2021-07-08 16:19:13
30,HP,2021-09-23 22:16:03
1,TW,2021-08-25 14:06:23
2,MEI,2021-08-14 12:18:00
3,TW,2021-06-26 19:33:48
4,MEI,2021-06-15 20:48:28
5,TW,2021-09-29 12:10:33
6,MEI,2021-10-18 08:05:32
7,HP,2021-09-27 18:05:18
8,CFII,2021-06-04 07:01:45
9,MEI,2021-07-22 21:40:12
10,TW,2021-06-22 13:24:41
11,HP,2021-09-07 21:46:02
12,TW,2021-06-23 11:20:28
13,HP,2021-09-13 05:50:34
14,HP,2021-07-16 02:26:24
15,TW,2021-07-14 21:27:13
16,CFII,2021-08-02 21:59:46
17,CFII,2021-07-22 16:44:15
18,TW,2021-07-05 04:34:11
19,TW,2021-09-26 18:54:29
20,CFII,2021-08-23 19:25:21
